Name,Frequency,Gender
Гурами,339,m
Ахсарбек,339,m
Анастас,339,m
Гелена,339,f
Вахит,339,m
Бахрам,338,m
Райля,338,f
Апти,338,m
Яхья,338,m
Валид,338,m
Лали,336,f
Доржи,336,m
Зинфира,334,f
Ермек,334,m
Фариз,334,m
Люся,333,f
Сасун,332,m
Фуркат,332,m
Айбек,332,m
Солтан,331,m
Анита,331,f
Гузелия,331,f
Эдем,330,m
Ляна,330,f
Игнатий,330,m
Нурулла,330,m
Дилявер,329,m
Темури,329,m
Мелик,329,m
Альфрит,329,m
Галим,329,m
Илхом,328,m
Нэлля,328,f
Асхаб,328,m
Алмас,328,m
Якоб,327,m
Саният,326,f
Рина,326,f
Шаукат,326,m
Хамзя,326,m
Лора,325,f
Самуил,325,m
Зорикто,325,m
Очир,324,m
Виктоp,324,m
Юрис,323,m
Ирэна,323,f
Эрдни,323,m
Вилена,323,f
Нажмудин,323,m
Фаил,323,m
Вараздат,322,m
Инал,322,m
Шаген,321,m
Эллада,320,f
Газимагомед,320,m
Тарлан,320,m
Ярославна,318,f
Валех,318,m
Рукият,317,f
Отабек,317,m
Ильвира,317,f
Асель,316,f
Этери,316,f
Флорид,316,m
Афган,316,m
Анжелина,316,f
Кемал,315,m
Марет,315,f
Халиль,315,m
Эрдэм,314,m
Фаиз,314,m
Даниль,313,m
Милан,313,m
Орлан,313,m
Ленур,311,m
Глафира,311,f
Рафит,311,m
Ильсия,310,f
Сабит,310,m
Джаваншир,309,m
Разият,309,f
Отар,309,m
Ильвир,309,m
Олимпиада,309,f
Вальтер,309,m
Натэлла,308,f
Агния,308,f
Виссарион,308,m
Муза,307,f
Райхана,307,f
Зайнап,306,f
Омари,305,m
Забир,305,m
Равза,304,f
Иветта,303,f
Мухарбек,303,m
Санан,302,m
Людвиг,302,m
Эрна,302,f
Нургали,302,m
Ахтям,301,m
Борислав,301,m
Неонила,301,f
Айса,300,m
Раил,300,m
Фазил,300,m
Вагинак,300,m
Фрида,300,f
Мила,299,f
Сэсэгма,299,f
Севиль,298,f
Соломон,297,m
Фаяз,297,m
Гусман,297,m
Эржена,297,f
Натела,296,f
Климент,296,m
Амангельды,296,u
Фахраддин,295,m
Аюна,295,f
Эльзара,294,f
Нажия,294,f
Месроп,294,m
Мнацакан,294,m
Оюна,293,f
Самира,292,f
Барият,292,f
Тина,292,f
Аднан,292,m
Аюр,292,m
Ритта,291,f
Дим,291,m
Аршалуйс,291,m
Мохамед,290,m
Наринэ,290,f
Марита,290,f
Джон,290,m
Хаджимурат,290,m
Нурали,289,m
Нальбий,289,m
Альфина,288,f
Лайла,288,f
Жирайр,286,m
Талех,286,m
Фярит,286,m
Александ,286,m
Акоб,285,m
Айзат,285,m
Шушаник,285,f
Фирдавис,285,m
Залия,285,f
Азим,284,m
Джафар,284,m
Альфинур,284,f
Мартирос,283,m
Абдулгамид,283,m
Жаннета,283,f
