Name,Frequency,Gender
Седых,2467,u
Самарин,2457,m
Резников,2457,m
Карасева,2455,f
Баландин,2453,m
Никишин,2453,m
Ведерников,2446,m
Монгуш,2445,u
Азаров,2444,m
Липатов,2444,m
Данилин,2444,m
Пащенко,2442,u
Мерзляков,2441,m
Николенко,2440,u
Сысоева,2439,f
Шадрина,2437,f
Постников,2436,m
Усачев,2435,m
Долгова,2434,f
Бойков,2432,m
Цыганов,2429,m
Середа,2428,u
Джафаров,2428,m
Викторов,2427,m
Стародубцев,2426,m
Мирзоев,2426,m
Кузьмичев,2425,m
Малов,2422,m
Кобзев,2422,m
Туманов,2421,m
Лаптева,2421,f
Харин,2414,m
Татаринов,2414,m
Сметанин,2413,m
Лапина,2413,f
Косенко,2413,u
Верещагин,2412,m
Седова,2411,f
Кан,2408,u
Якубов,2406,m
Савчук,2405,u
Гарифуллин,2402,m
Хуснутдинов,2400,m
Мурадян,2400,u
Баженова,2397,f
Ветров,2397,m
Минеев,2397,m
Жидков,2396,m
Иванников,2396,m
Сердюков,2389,m
Москвин,2389,m
Симоненко,2387,u
Шишков,2381,m
Сальникова,2381,f
Рубцова,2380,f
Перов,2379,m
Исхаков,2379,m
Лобов,2379,m
Шапошников,2377,m
Муравьева,2376,f
Кравец,2376,u
Сотникова,2376,f
Носкова,2374,f
Антипин,2373,m
Феоктистов,2371,m
Прудников,2367,m
Богомолова,2367,f
Кутузов,2362,m
Уланов,2356,m
Османов,2348,m
Гуськов,2348,m
Столярова,2345,f
Судаков,2344,m
Сафиуллин,2343,m
Русакова,2342,f
Грязнов,2339,m
Байков,2339,m
Шамсутдинов,2336,m
Валеева,2332,f
Сулейманова,2330,f
Куприянова,2329,f
Рыжова,2329,f
Боровков,2329,m
Мальков,2326,m
Калиниченко,2324,u
Гареев,2323,m
Аристов,2319,m
Пешков,2317,m
Селиванова,2315,f
Шубина,2314,f
Нефедова,2312,f
Шульгин,2309,m
Шарова,2306,f
Малинин,2303,m
Насыров,2303,m
Лаврова,2302,f
Ткач,2301,u
Востриков,2301,m
Мурзин,2300,m
Катков,2298,m
Азизов,2297,m
Протасов,2297,m
Бойцов,2296,m
Кабанова,2295,f
Савенков,2293,m
Еремеева,2287,f
Вавилов,2287,m
Букин,2284,m
Булатова,2282,f
Сироткин,2281,m
Бабаян,2278,u
Горохова,2278,f
Орехова,2277,f
Пискунов,2274,m
Чернявский,2274,m
Аббасов,2273,m
Белоус,2272,u
Кочергин,2269,m
Бабин,2267,m
Минаков,2266,m
Рогова,2265,f
Барышев,2264,m
Латышев,2262,m
Сухова,2262,f
Уварова,2261,f
Буланов,2261,m
Коротаев,2259,m
Закирова,2253,f
Мустафаев,2251,m
Суслова,2249,f
Сафина,2246,f
Стрелков,2246,m
Григоренко,2245,u
Фомичева,2243,f
Ильченко,2241,u
Шведов,2241,m
Вербицкий,2241,m
Шепелев,2240,m
Епифанов,2239,m
Савицкий,2239,m
Торопов,2238,m
Барков,2236,m
Буторин,2235,m
Крючкова,2233,f
Корякин,2232,m
Геворкян,2231,u
Ахмедова,2229,f
Шабанова,2229,f
Гаврилин,2226,m
Фатеев,2225,m
Кузьминых,2223,u
Аронов,2223,m
Ермилов,2221,m
Герман,2220,u
Карелин,2220,m
